"subjectid","type","reward","choice","false_start","rt","key"
1,3,-10,6,0,692,"33"
1,3,-10,6,0,532,"36"
1,1,10,1,0,527,"33"
1,3,-10,6,0,556,"36"
1,3,-10,6,0,828,"33"
1,4,10,7,0,897,"33"
1,2,10,3,0,480,"33"
1,4,-10,0,0,1500,"0"
1,2,-10,0,0,1500,"0"
1,4,10,7,0,776,"36"
1,1,10,2,0,435,"36"
1,3,10,6,0,529,"36"
1,1,10,1,0,485,"36"
1,2,10,4,0,757,"33"
1,2,-10,4,0,715,"33"
1,3,10,6,0,523,"33"
1,2,-10,3,0,727,"36"
1,1,10,2,0,748,"36"
1,1,10,2,0,843,"36"
1,4,10,7,0,636,"33"
1,2,10,4,0,646,"33"
1,4,10,7,0,501,"36"
1,1,-10,2,0,621,"33"
1,3,-10,6,0,856,"33"
1,1,10,1,0,612,"36"
1,4,10,7,0,587,"33"
1,1,10,2,0,624,"33"
1,3,-10,0,0,1500,"0"
1,3,10,6,0,718,"33"
1,4,10,7,0,551,"36"
1,2,-10,4,0,711,"33"
1,2,-10,3,0,511,"36"
1,4,-10,7,0,494,"33"
1,4,10,7,0,676,"36"
1,4,10,7,0,477,"33"
1,3,10,5,0,1457,"33"
1,3,10,5,0,434,"36"
1,1,-10,1,0,437,"33"
1,2,-10,4,0,770,"33"
1,2,10,4,0,596,"33"
1,2,10,3,0,1227,"36"
1,1,-10,0,0,1500,"0"
1,2,-10,4,0,352,"33"
1,4,10,7,0,457,"36"
1,4,10,7,0,700,"36"
1,1,10,2,0,676,"33"
1,1,-10,2,0,701,"36"
1,3,10,5,0,518,"33"
1,3,10,5,0,407,"36"
1,4,-10,7,0,658,"36"
1,2,10,3,0,584,"33"
1,4,-10,7,0,849,"36"
1,4,10,8,0,874,"36"
1,4,10,7,0,588,"33"
1,2,10,3,0,612,"33"
1,1,-10,1,0,677,"33"
1,4,-10,0,0,1500,"0"
1,3,-10,6,0,528,"33"
1,3,10,5,0,611,"36"
1,2,10,4,0,901,"36"
1,3,-10,6,0,570,"36"
1,1,-10,2,0,560,"33"
1,1,-10,1,0,531,"36"
1,2,10,3,0,533,"33"
1,4,-10,0,0,1500,"0"
1,3,10,5,0,374,"33"
1,2,-10,3,0,723,"36"
1,2,10,3,0,653,"33"
1,2,-10,4,0,877,"36"
1,4,-10,0,0,1500,"0"
1,3,-10,6,0,344,"33"
1,3,-10,5,0,706,"33"
1,1,10,2,0,706,"36"
1,4,-10,7,0,640,"33"
1,1,-10,0,0,1500,"0"
1,4,10,8,0,338,"33"
1,2,-10,4,0,651,"36"
1,3,-10,6,0,501,"33"
1,3,-10,6,0,427,"36"
1,4,-10,7,0,515,"36"
1,3,-10,6,0,682,"36"
1,2,-10,0,0,1500,"0"
1,2,10,3,1,609,"33"
1,1,10,2,0,529,"36"
1,2,-10,3,0,482,"33"
1,3,10,5,0,496,"36"
1,1,10,1,0,531,"36"
1,1,10,1,0,390,"36"
1,1,10,1,0,399,"36"
1,1,10,1,0,454,"33"
1,3,10,5,0,594,"33"
1,4,-10,7,0,563,"36"
1,2,10,3,0,613,"33"
1,1,-10,0,0,1500,"0"
1,4,-10,7,0,514,"33"
1,1,-10,1,0,572,"33"
1,3,-10,6,0,956,"33"
1,4,10,7,0,598,"36"
1,4,-10,7,0,595,"33"
1,4,-10,0,0,1500,"0"
1,1,10,1,0,533,"36"
1,2,-10,4,0,644,"33"
1,2,10,4,0,678,"33"
1,1,10,1,0,582,"33"
1,1,-10,2,0,1043,"36"
1,3,10,5,0,595,"33"
1,1,-10,1,0,526,"36"
1,1,10,1,0,416,"36"
1,1,10,1,0,1334,"33"
1,2,-10,4,0,793,"36"
1,3,-10,5,0,607,"33"
1,4,-10,0,0,1500,"0"
1,2,-10,0,0,1500,"0"
1,2,10,4,0,417,"36"
1,3,-10,5,0,520,"33"
1,3,10,5,0,776,"33"
1,2,-10,4,0,786,"33"
1,4,-10,7,0,567,"33"
1,1,-10,1,0,450,"33"
1,1,-10,1,0,549,"36"
1,2,-10,4,0,529,"33"
1,3,10,6,0,1415,"36"
1,4,-10,8,0,357,"33"
1,2,-10,4,0,776,"36"
1,3,-10,6,0,533,"33"
1,1,-10,1,0,557,"36"
1,4,10,7,0,534,"36"
1,1,10,1,0,533,"36"
1,2,-10,4,0,515,"36"
1,1,-10,2,0,606,"36"
1,4,10,7,0,581,"33"
1,2,-10,4,0,597,"36"
1,4,-10,0,0,1500,"0"
1,3,-10,5,0,184,"36"
1,1,-10,1,0,443,"36"
1,3,-10,5,0,594,"33"
1,4,10,7,0,564,"36"
1,2,-10,4,0,536,"33"
1,3,10,5,0,513,"33"
1,2,-10,4,0,612,"33"
1,4,-10,0,0,1500,"0"
1,3,-10,0,0,1500,"0"
1,4,10,7,0,391,"33"
1,3,-10,6,0,392,"33"
1,3,10,5,0,750,"33"
1,1,-10,1,0,540,"33"
1,2,-10,4,0,682,"33"
1,3,10,5,0,541,"33"
1,1,10,1,0,571,"36"
1,3,10,5,0,579,"33"
1,2,-10,4,0,519,"36"
1,1,10,1,0,769,"33"
1,1,10,1,0,414,"36"
1,4,-10,7,0,596,"36"
1,3,-10,6,0,395,"33"
1,4,-10,7,0,467,"36"
1,3,-10,6,0,648,"33"
1,3,-10,0,0,1500,"0"
1,1,-10,1,0,473,"33"
1,4,-10,7,0,647,"33"
1,1,10,1,0,420,"33"
