model,loss,Replacement,Submodels,Ensemble,Sessions,Trials,Voting
model_name,0.67990756,TRUE,4,average,128,200,median
model_name,0.67990756,TRUE,4,average,128,200,median
model_name,0.67990756,TRUE,4,average,128,200,median
model_name,0.67990756,TRUE,4,average,128,200,median
model_name,0.67990756,TRUE,4,average,128,200,median
model_name,0.67990756,TRUE,4,average,128,200,median
model_name,0.67990756,TRUE,4,average,128,200,median
model_name,0.67990756,TRUE,4,average,128,200,median
model_name,0.67990756,TRUE,4,average,128,200,median
model_name,0.67990756,TRUE,4,average,128,200,median
model_name,0.685385764,FALSE,4,average,128,200,median
model_name,0.685385704,FALSE,4,average,128,200,median
model_name,0.685385644,FALSE,4,average,128,200,median
model_name,0.685385704,FALSE,4,average,128,200,median
model_name,0.685385704,FALSE,4,average,128,200,median
model_name,0.685385764,FALSE,4,average,128,200,median
model_name,0.685385704,FALSE,4,average,128,200,median
model_name,0.685385704,FALSE,4,average,128,200,median
model_name,0.685385704,FALSE,4,average,128,200,median
model_name,0.685385764,FALSE,4,average,128,200,median
model_name,0.68206358,TRUE,16,average,128,200,median
model_name,0.68206346,TRUE,16,average,128,200,median
model_name,0.68206346,TRUE,16,average,128,200,median
model_name,0.68206346,TRUE,16,average,128,200,median
model_name,0.68206346,TRUE,16,average,128,200,median
model_name,0.68206346,TRUE,16,average,128,200,median
model_name,0.68206346,TRUE,16,average,128,200,median
model_name,0.68206346,TRUE,16,average,128,200,median
model_name,0.682063401,TRUE,16,average,128,200,median
model_name,0.68206346,TRUE,16,average,128,200,median
model_name,0.679586947,TRUE,4,average,256,200,median
model_name,0.679586887,TRUE,4,average,256,200,median
model_name,0.679586947,TRUE,4,average,256,200,median
model_name,0.679587007,TRUE,4,average,256,200,median
model_name,0.679586887,TRUE,4,average,256,200,median
model_name,0.679586828,TRUE,4,average,256,200,median
model_name,0.679586887,TRUE,4,average,256,200,median
model_name,0.679586947,TRUE,4,average,256,200,median
model_name,0.679586887,TRUE,4,average,256,200,median
model_name,0.679586887,TRUE,4,average,256,200,median
model_name,0.677673578,FALSE,4,average,256,200,median
model_name,0.677673578,FALSE,4,average,256,200,median
model_name,0.677673578,FALSE,4,average,256,200,median
model_name,0.677673638,FALSE,4,average,256,200,median
model_name,0.677673638,FALSE,4,average,256,200,median
model_name,0.677673578,FALSE,4,average,256,200,median
model_name,0.677673638,FALSE,4,average,256,200,median
model_name,0.677673638,FALSE,4,average,256,200,median
model_name,0.677673578,FALSE,4,average,256,200,median
model_name,0.677673638,FALSE,4,average,256,200,median
model_name,0.691872001,TRUE,16,average,256,200,median
model_name,0.691872001,TRUE,16,average,256,200,median
model_name,0.69187206,TRUE,16,average,256,200,median
model_name,0.691871881,TRUE,16,average,256,200,median
model_name,0.691871941,TRUE,16,average,256,200,median
model_name,0.691871941,TRUE,16,average,256,200,median
model_name,0.691872001,TRUE,16,average,256,200,median
model_name,0.691871941,TRUE,16,average,256,200,median
model_name,0.691871941,TRUE,16,average,256,200,median
model_name,0.691872001,TRUE,16,average,256,200,median
model_name,0.68769753,FALSE,16,average,256,200,median
model_name,0.68769747,FALSE,16,average,256,200,median
model_name,0.68769753,FALSE,16,average,256,200,median
model_name,0.68769747,FALSE,16,average,256,200,median
model_name,0.68769753,FALSE,16,average,256,200,median
model_name,0.68769747,FALSE,16,average,256,200,median
model_name,0.68769747,FALSE,16,average,256,200,median
model_name,0.68769753,FALSE,16,average,256,200,median
model_name,0.68769753,FALSE,16,average,256,200,median
model_name,0.68769747,FALSE,16,average,256,200,median
model_name,0.69288379,TRUE,32,average,256,200,median
model_name,0.69288379,TRUE,32,average,256,200,median
model_name,0.69288373,TRUE,32,average,256,200,median
model_name,0.69288373,TRUE,32,average,256,200,median
model_name,0.69288373,TRUE,32,average,256,200,median
model_name,0.69288379,TRUE,32,average,256,200,median
model_name,0.69288373,TRUE,32,average,256,200,median
model_name,0.69288379,TRUE,32,average,256,200,median
model_name,0.69288379,TRUE,32,average,256,200,median
model_name,0.69288379,TRUE,32,average,256,200,median
model_name,0.684369206,FALSE,32,average,256,200,median
model_name,0.684369206,FALSE,32,average,256,200,median
model_name,0.684369206,FALSE,32,average,256,200,median
model_name,0.684369147,FALSE,32,average,256,200,median
model_name,0.684369206,FALSE,32,average,256,200,median
model_name,0.684369206,FALSE,32,average,256,200,median
model_name,0.684369206,FALSE,32,average,256,200,median
model_name,0.684369206,FALSE,32,average,256,200,median
model_name,0.684369266,FALSE,32,average,256,200,median
model_name,0.684369206,FALSE,32,average,256,200,median
model_name,0.668458164,TRUE,4,average,256,200,mean
model_name,0.668458104,TRUE,4,average,256,200,mean
model_name,0.668458104,TRUE,4,average,256,200,mean
model_name,0.668458104,TRUE,4,average,256,200,mean
model_name,0.668458164,TRUE,4,average,256,200,mean
model_name,0.668458104,TRUE,4,average,256,200,mean
model_name,0.668458164,TRUE,4,average,256,200,mean
model_name,0.668458223,TRUE,4,average,256,200,mean
model_name,0.668458223,TRUE,4,average,256,200,mean
model_name,0.668458104,TRUE,4,average,256,200,mean
model_name,0.680936396,FALSE,4,average,256,200,mean
model_name,0.680936337,FALSE,4,average,256,200,mean
model_name,0.680936337,FALSE,4,average,256,200,mean
model_name,0.680936396,FALSE,4,average,256,200,mean
model_name,0.680936396,FALSE,4,average,256,200,mean
model_name,0.680936337,FALSE,4,average,256,200,mean
model_name,0.680936277,FALSE,4,average,256,200,mean
model_name,0.680936337,FALSE,4,average,256,200,mean
model_name,0.680936337,FALSE,4,average,256,200,mean
model_name,0.680936396,FALSE,4,average,256,200,mean
model_name,0.698482275,TRUE,16,average,256,200,mean
model_name,0.698482335,TRUE,16,average,256,200,mean
model_name,0.698482275,TRUE,16,average,256,200,mean
model_name,0.698482275,TRUE,16,average,256,200,mean
model_name,0.698482335,TRUE,16,average,256,200,mean
model_name,0.698482275,TRUE,16,average,256,200,mean
model_name,0.698482275,TRUE,16,average,256,200,mean
model_name,0.698482335,TRUE,16,average,256,200,mean
model_name,0.698482275,TRUE,16,average,256,200,mean
model_name,0.698482335,TRUE,16,average,256,200,mean
model_name,0.685923457,FALSE,16,average,256,200,mean
model_name,0.685923457,FALSE,16,average,256,200,mean
model_name,0.685923457,FALSE,16,average,256,200,mean
model_name,0.685923457,FALSE,16,average,256,200,mean
model_name,0.685923457,FALSE,16,average,256,200,mean
model_name,0.685923457,FALSE,16,average,256,200,mean
model_name,0.685923457,FALSE,16,average,256,200,mean
model_name,0.685923457,FALSE,16,average,256,200,mean
model_name,0.685923398,FALSE,16,average,256,200,mean
model_name,0.685923457,FALSE,16,average,256,200,mean
model_name,0.686069667,TRUE,32,average,256,200,mean
model_name,0.686069608,TRUE,32,average,256,200,mean
