model,loss,Replacement,Submodels,Ensemble,Sessions,Trials,Voting
model_name,0.6261557936668396,False,4,average,32,50,median
model_name,0.6261558532714844,False,4,average,32,50,median
model_name,0.6261558532714844,False,4,average,32,50,median
model_name,0.6261557936668396,False,4,average,32,50,median
model_name,0.6261557936668396,False,4,average,32,50,median
model_name,0.6261557936668396,False,4,average,32,50,median
model_name,0.6261558532714844,False,4,average,32,50,median
model_name,0.6261558532714844,False,4,average,32,50,median
model_name,0.6261557936668396,False,4,average,32,50,median
model_name,0.6261557936668396,False,4,average,32,50,median
model_name,0.642745316028595,False,4,average,32,50,median
model_name,0.6427451968193054,False,4,average,32,50,median
model_name,0.6427452564239502,False,4,average,32,50,median
model_name,0.6427452564239502,False,4,average,32,50,median
model_name,0.642745316028595,False,4,average,32,50,median
model_name,0.6427452564239502,False,4,average,32,50,median
model_name,0.6427452564239502,False,4,average,32,50,median
model_name,0.6427452564239502,False,4,average,32,50,median
model_name,0.6427452564239502,False,4,average,32,50,median
model_name,0.6427452564239502,False,4,average,32,50,median
model_name,0.6237112283706665,False,4,average,32,100,median
model_name,0.6237112283706665,False,4,average,32,100,median
model_name,0.6237112283706665,False,4,average,32,100,median
model_name,0.6237112879753113,False,4,average,32,100,median
model_name,0.6237112879753113,False,4,average,32,100,median
model_name,0.6237112283706665,False,4,average,32,100,median
model_name,0.6237112283706665,False,4,average,32,100,median
model_name,0.6237112283706665,False,4,average,32,100,median
model_name,0.6237112283706665,False,4,average,32,100,median
model_name,0.6237112283706665,False,4,average,32,100,median
model_name,0.6216921806335449,False,4,average,32,100,median
model_name,0.6216921210289001,False,4,average,32,100,median
model_name,0.6216921210289001,False,4,average,32,100,median
model_name,0.6216921806335449,False,4,average,32,100,median
model_name,0.6216921806335449,False,4,average,32,100,median
model_name,0.6216922402381897,False,4,average,32,100,median
model_name,0.6216921806335449,False,4,average,32,100,median
model_name,0.6216921806335449,False,4,average,32,100,median
model_name,0.6216922402381897,False,4,average,32,100,median
model_name,0.6216921806335449,False,4,average,32,100,median
model_name,0.6151540875434875,False,4,average,32,200,median
model_name,0.6151540875434875,False,4,average,32,200,median
model_name,0.6151540875434875,False,4,average,32,200,median
model_name,0.6151540875434875,False,4,average,32,200,median
model_name,0.6151540875434875,False,4,average,32,200,median
model_name,0.6151540875434875,False,4,average,32,200,median
model_name,0.6151540875434875,False,4,average,32,200,median
model_name,0.6151540279388428,False,4,average,32,200,median
model_name,0.6151540279388428,False,4,average,32,200,median
model_name,0.6151540875434875,False,4,average,32,200,median
model_name,0.5697020292282104,False,4,average,32,200,median
model_name,0.5697020888328552,False,4,average,32,200,median
model_name,0.5697020888328552,False,4,average,32,200,median
model_name,0.5697021484375,False,4,average,32,200,median
model_name,0.5697020888328552,False,4,average,32,200,median
model_name,0.5697020888328552,False,4,average,32,200,median
model_name,0.5697020888328552,False,4,average,32,200,median
model_name,0.5697020888328552,False,4,average,32,200,median
model_name,0.5697020888328552,False,4,average,32,200,median
model_name,0.5697020888328552,False,4,average,32,200,median
model_name,0.599221408367157,False,4,average,64,50,median
model_name,0.5992214679718018,False,4,average,64,50,median
model_name,0.5992214679718018,False,4,average,64,50,median
model_name,0.5992214679718018,False,4,average,64,50,median
model_name,0.5992214679718018,False,4,average,64,50,median
model_name,0.5992214679718018,False,4,average,64,50,median
model_name,0.5992214679718018,False,4,average,64,50,median
model_name,0.5992214679718018,False,4,average,64,50,median
model_name,0.5992214679718018,False,4,average,64,50,median
model_name,0.5992214679718018,False,4,average,64,50,median
model_name,0.6300114393234253,False,4,average,64,50,median
model_name,0.6300113797187805,False,4,average,64,50,median
model_name,0.6300113797187805,False,4,average,64,50,median
model_name,0.6300113797187805,False,4,average,64,50,median
model_name,0.6300113797187805,False,4,average,64,50,median
model_name,0.6300113797187805,False,4,average,64,50,median
model_name,0.6300113797187805,False,4,average,64,50,median
model_name,0.6300113797187805,False,4,average,64,50,median
model_name,0.6300113797187805,False,4,average,64,50,median
model_name,0.6300114393234253,False,4,average,64,50,median
model_name,0.5777273774147034,False,4,average,64,100,median
model_name,0.5777273774147034,False,4,average,64,100,median
model_name,0.5777273774147034,False,4,average,64,100,median
model_name,0.5777273774147034,False,4,average,64,100,median
model_name,0.5777274966239929,False,4,average,64,100,median
model_name,0.5777274370193481,False,4,average,64,100,median
model_name,0.5777274370193481,False,4,average,64,100,median
model_name,0.5777274370193481,False,4,average,64,100,median
model_name,0.5777273774147034,False,4,average,64,100,median
model_name,0.5777274370193481,False,4,average,64,100,median
model_name,0.6080475449562073,False,4,average,64,100,median
model_name,0.6080475449562073,False,4,average,64,100,median
model_name,0.6080475449562073,False,4,average,64,100,median
model_name,0.6080475449562073,False,4,average,64,100,median
model_name,0.6080475449562073,False,4,average,64,100,median
model_name,0.6080475449562073,False,4,average,64,100,median
model_name,0.608047604560852,False,4,average,64,100,median
model_name,0.608047604560852,False,4,average,64,100,median
model_name,0.6080475449562073,False,4,average,64,100,median
model_name,0.6080475449562073,False,4,average,64,100,median
model_name,0.6057158708572388,False,4,average,64,200,median
model_name,0.6057158708572388,False,4,average,64,200,median
model_name,0.6057158708572388,False,4,average,64,200,median
model_name,0.6057158708572388,False,4,average,64,200,median
model_name,0.6057158708572388,False,4,average,64,200,median
model_name,0.6057158708572388,False,4,average,64,200,median
model_name,0.605715811252594,False,4,average,64,200,median
model_name,0.6057158708572388,False,4,average,64,200,median
model_name,0.6057158708572388,False,4,average,64,200,median
model_name,0.6057158708572388,False,4,average,64,200,median
model_name,0.6173114180564879,False,4,average,64,200,median
model_name,0.6173114180564879,False,4,average,64,200,median
model_name,0.6173113584518433,False,4,average,64,200,median
model_name,0.6173113584518433,False,4,average,64,200,median
model_name,0.6173113584518433,False,4,average,64,200,median
model_name,0.6173114180564879,False,4,average,64,200,median
model_name,0.6173114180564879,False,4,average,64,200,median
model_name,0.6173114180564879,False,4,average,64,200,median
model_name,0.6173114180564879,False,4,average,64,200,median
model_name,0.6173113584518433,False,4,average,64,200,median
model_name,0.6724451184272766,False,4,average,128,50,median
model_name,0.6724451184272766,False,4,average,128,50,median
model_name,0.6724451184272766,False,4,average,128,50,median
model_name,0.6724451184272766,False,4,average,128,50,median
model_name,0.6724451184272766,False,4,average,128,50,median
model_name,0.6724450588226318,False,4,average,128,50,median
model_name,0.6724450588226318,False,4,average,128,50,median
model_name,0.6724451184272766,False,4,average,128,50,median
model_name,0.6724451184272766,False,4,average,128,50,median
model_name,0.6724450588226318,False,4,average,128,50,median
model_name,0.6090404987335205,False,4,average,128,50,median
model_name,0.6090404987335205,False,4,average,128,50,median
model_name,0.6090404987335205,False,4,average,128,50,median
model_name,0.6090404987335205,False,4,average,128,50,median
model_name,0.6090404987335205,False,4,average,128,50,median
model_name,0.6090405583381653,False,4,average,128,50,median
model_name,0.6090404987335205,False,4,average,128,50,median
model_name,0.6090404987335205,False,4,average,128,50,median
model_name,0.6090404987335205,False,4,average,128,50,median
model_name,0.6090404391288757,False,4,average,128,50,median
model_name,0.6016392111778259,False,4,average,128,100,median
model_name,0.6016392707824707,False,4,average,128,100,median
model_name,0.6016392111778259,False,4,average,128,100,median
model_name,0.6016392111778259,False,4,average,128,100,median
model_name,0.6016392111778259,False,4,average,128,100,median
model_name,0.6016392111778259,False,4,average,128,100,median
model_name,0.6016392707824707,False,4,average,128,100,median
model_name,0.6016392111778259,False,4,average,128,100,median
model_name,0.6016392111778259,False,4,average,128,100,median
model_name,0.6016392111778259,False,4,average,128,100,median
model_name,0.5826888084411621,False,4,average,128,100,median
model_name,0.5826888084411621,False,4,average,128,100,median
model_name,0.5826888680458069,False,4,average,128,100,median
model_name,0.5826888084411621,False,4,average,128,100,median
model_name,0.5826888084411621,False,4,average,128,100,median
model_name,0.5826888680458069,False,4,average,128,100,median
model_name,0.5826888084411621,False,4,average,128,100,median
model_name,0.5826888084411621,False,4,average,128,100,median
model_name,0.5826888084411621,False,4,average,128,100,median
model_name,0.5826888084411621,False,4,average,128,100,median
model_name,0.6061630249023438,False,4,average,128,200,median
model_name,0.6061630249023438,False,4,average,128,200,median
model_name,0.6061630249023438,False,4,average,128,200,median
model_name,0.6061630249023438,False,4,average,128,200,median
model_name,0.606162965297699,False,4,average,128,200,median
model_name,0.606162965297699,False,4,average,128,200,median
model_name,0.606162965297699,False,4,average,128,200,median
model_name,0.6061630249023438,False,4,average,128,200,median
model_name,0.606162965297699,False,4,average,128,200,median
model_name,0.606162965297699,False,4,average,128,200,median
model_name,0.591987669467926,False,4,average,128,200,median
model_name,0.591987669467926,False,4,average,128,200,median
model_name,0.591987669467926,False,4,average,128,200,median
model_name,0.591987669467926,False,4,average,128,200,median
model_name,0.591987669467926,False,4,average,128,200,median
model_name,0.591987669467926,False,4,average,128,200,median
model_name,0.5919876098632812,False,4,average,128,200,median
model_name,0.5919876098632812,False,4,average,128,200,median
model_name,0.591987669467926,False,4,average,128,200,median
model_name,0.591987669467926,False,4,average,128,200,median
model_name,0.5919227004051208,False,4,average,256,50,median
model_name,0.5919227004051208,False,4,average,256,50,median
model_name,0.5919227004051208,False,4,average,256,50,median
model_name,0.5919227004051208,False,4,average,256,50,median
model_name,0.5919227004051208,False,4,average,256,50,median
model_name,0.5919227004051208,False,4,average,256,50,median
model_name,0.5919227600097656,False,4,average,256,50,median
model_name,0.5919227004051208,False,4,average,256,50,median
model_name,0.5919227004051208,False,4,average,256,50,median
model_name,0.5919227004051208,False,4,average,256,50,median
model_name,0.5903730392456055,False,4,average,256,50,median
model_name,0.5903730392456055,False,4,average,256,50,median
model_name,0.5903730392456055,False,4,average,256,50,median
model_name,0.5903729796409607,False,4,average,256,50,median
model_name,0.5903730392456055,False,4,average,256,50,median
model_name,0.5903730392456055,False,4,average,256,50,median
model_name,0.5903729796409607,False,4,average,256,50,median
model_name,0.5903730392456055,False,4,average,256,50,median
model_name,0.5903730392456055,False,4,average,256,50,median
model_name,0.5903730392456055,False,4,average,256,50,median
model_name,0.5961469411849976,False,4,average,256,100,median
model_name,0.5961469411849976,False,4,average,256,100,median
model_name,0.5961468815803528,False,4,average,256,100,median
model_name,0.5961469411849976,False,4,average,256,100,median
model_name,0.5961469411849976,False,4,average,256,100,median
model_name,0.5961469411849976,False,4,average,256,100,median
model_name,0.5961469411849976,False,4,average,256,100,median
model_name,0.5961470007896423,False,4,average,256,100,median
model_name,0.5961469411849976,False,4,average,256,100,median
model_name,0.5961469411849976,False,4,average,256,100,median
model_name,0.5993407368659973,False,4,average,256,100,median
model_name,0.5993407368659973,False,4,average,256,100,median
model_name,0.5993407368659973,False,4,average,256,100,median
model_name,0.5993406772613525,False,4,average,256,100,median
model_name,0.5993407368659973,False,4,average,256,100,median
model_name,0.5993407368659973,False,4,average,256,100,median
model_name,0.5993407368659973,False,4,average,256,100,median
model_name,0.5993407368659973,False,4,average,256,100,median
model_name,0.5993406772613525,False,4,average,256,100,median
model_name,0.5993407368659973,False,4,average,256,100,median
model_name,0.5744458436965942,False,4,average,256,200,median
model_name,0.5744458436965942,False,4,average,256,200,median
model_name,0.574445903301239,False,4,average,256,200,median
model_name,0.5744459629058838,False,4,average,256,200,median
model_name,0.574445903301239,False,4,average,256,200,median
model_name,0.574445903301239,False,4,average,256,200,median
model_name,0.5744459629058838,False,4,average,256,200,median
model_name,0.574445903301239,False,4,average,256,200,median
model_name,0.574445903301239,False,4,average,256,200,median
model_name,0.574445903301239,False,4,average,256,200,median
model_name,0.5901949405670166,False,4,average,256,200,median
model_name,0.5901950001716614,False,4,average,256,200,median
model_name,0.5901950001716614,False,4,average,256,200,median
model_name,0.5901948809623718,False,4,average,256,200,median
model_name,0.5901949405670166,False,4,average,256,200,median
model_name,0.5901950001716614,False,4,average,256,200,median
model_name,0.5901949405670166,False,4,average,256,200,median
model_name,0.5901949405670166,False,4,average,256,200,median
model_name,0.5901950001716614,False,4,average,256,200,median
model_name,0.5901949405670166,False,4,average,256,200,median
model_name,0.6153233051300049,False,16,average,32,50,median
model_name,0.6153231859207153,False,16,average,32,50,median
model_name,0.6153233051300049,False,16,average,32,50,median
model_name,0.6153232455253601,False,16,average,32,50,median
model_name,0.6153233051300049,False,16,average,32,50,median
model_name,0.6153232455253601,False,16,average,32,50,median
model_name,0.6153233051300049,False,16,average,32,50,median
model_name,0.6153233051300049,False,16,average,32,50,median
model_name,0.6153233051300049,False,16,average,32,50,median
model_name,0.6153233051300049,False,16,average,32,50,median
model_name,0.60154128074646,False,16,average,32,50,median
model_name,0.6015413403511047,False,16,average,32,50,median
model_name,0.60154128074646,False,16,average,32,50,median
model_name,0.60154128074646,False,16,average,32,50,median
model_name,0.60154128074646,False,16,average,32,50,median
model_name,0.6015413403511047,False,16,average,32,50,median
model_name,0.60154128074646,False,16,average,32,50,median
model_name,0.60154128074646,False,16,average,32,50,median
model_name,0.60154128074646,False,16,average,32,50,median
model_name,0.60154128074646,False,16,average,32,50,median
model_name,0.6126995086669922,False,16,average,32,100,median
model_name,0.6126995086669922,False,16,average,32,100,median
model_name,0.6126995682716371,False,16,average,32,100,median
model_name,0.6126995682716371,False,16,average,32,100,median
model_name,0.6126995682716371,False,16,average,32,100,median
model_name,0.6126996278762817,False,16,average,32,100,median
model_name,0.6126995682716371,False,16,average,32,100,median
model_name,0.6126995682716371,False,16,average,32,100,median
model_name,0.6126995682716371,False,16,average,32,100,median
model_name,0.6126996278762817,False,16,average,32,100,median
model_name,0.633551299571991,False,16,average,32,100,median
model_name,0.633551299571991,False,16,average,32,100,median
model_name,0.6335513591766357,False,16,average,32,100,median
model_name,0.633551299571991,False,16,average,32,100,median
model_name,0.633551299571991,False,16,average,32,100,median
model_name,0.6335513591766357,False,16,average,32,100,median
model_name,0.633551299571991,False,16,average,32,100,median
model_name,0.633551299571991,False,16,average,32,100,median
model_name,0.633551299571991,False,16,average,32,100,median
model_name,0.633551299571991,False,16,average,32,100,median
model_name,0.5725553631782532,False,16,average,32,200,median
