,reg_method,weight,loss,forget_rate,xQf,alpha,xQr,correlated_update,perseveration_bias,xH,beta,sindy_beta
0,2nd_approach,0.0,0.5666915,0.0,0.975 xQf[k],0.25,0.857 xQr[k] + 0.146 cr[k],False,0.0,0.999 xH[k],3.0,2.957108497619629
1,2nd_approach,0.0,0.5603019,0.0,0.978 xQf[k],0.25,0.052 1 + 0.803 xQr[k] + 0.150 cr[k],False,0.0,1.011 xH[k],3.0,3.1439032554626465
2,2nd_approach,0.0,0.5575978,0.0,0.952 xQf[k],0.25,0.841 xQr[k] + 0.170 cr[k],False,0.0,1.023 xH[k],3.0,2.930171012878418
3,2nd_approach,0.0,0.5660264,0.0,0.980 xQf[k],0.25,0.868 xQr[k] + 0.145 cr[k],False,0.0,0.989 xH[k],3.0,3.1117606163024902
4,2nd_approach,0.0,0.577669,0.0,1.044 xQf[k],0.25,0.858 xQr[k] + 0.143 cr[k],False,0.0,0.987 xH[k],3.0,2.946845054626465
5,2nd_approach,0.0,0.5782645,0.0,0.963 xQf[k],0.25,0.828 xQr[k] + 0.182 cr[k],False,0.0,1.005 xH[k],3.0,2.587924003601074
6,2nd_approach,0.0,0.546499,0.0,0.982 xQf[k],0.25,0.051 1 + 0.800 xQr[k] + 0.152 cr[k],False,0.0,1.003 xH[k],3.0,3.0860671997070312
7,2nd_approach,0.0,0.5778779,0.0,0.971 xQf[k],0.25,0.839 xQr[k] + 0.166 cr[k],False,0.0,1.014 xH[k],3.0,2.6184494495391846
8,2nd_approach,0.0,0.548513,0.0,0.978 xQf[k],0.25,0.052 1 + 0.817 xQr[k] + 0.127 cr[k],False,0.0,1.013 xH[k],3.0,3.5981554985046387
9,2nd_approach,0.0,0.5709404,0.0,0.963 xQf[k],0.25,0.819 xQr[k] + 0.175 cr[k],False,0.0,0.988 xH[k],3.0,2.671809673309326
10,2nd_approach,0.0,0.58369,0.0,0.978 xQf[k],0.25,0.856 xQr[k] + 0.147 cr[k],False,0.0,1.022 xH[k],3.0,2.9649085998535156
11,2nd_approach,0.0,0.5673288,0.0,0.978 xQf[k],0.25,0.858 xQr[k] + 0.152 cr[k],False,0.0,1.017 xH[k],3.0,3.0581626892089844
12,2nd_approach,0.0,0.5652215,0.0,0.930 xQf[k],0.25,0.847 xQr[k] + 0.159 cr[k],False,0.0,0.989 xH[k],3.0,2.9721763134002686
13,2nd_approach,0.0,0.5731725,0.0,0.984 xQf[k],0.25,0.033 1 + 0.808 xQr[k] + 0.161 cr[k],False,0.0,1.005 xH[k],3.0,2.843829870223999
14,2nd_approach,0.0,0.5546875,0.0,0.954 xQf[k],0.25,0.058 1 + 0.821 xQr[k] + 0.120 cr[k],False,0.0,1.007 xH[k],3.0,3.422234535217285
15,2nd_approach,0.0,0.5469811,0.0,0.985 xQf[k],0.25,0.799 xQr[k] + 0.201 cr[k],False,0.0,1.000 xH[k],3.0,2.3821005821228027
16,2nd_approach,0.0,0.5521144,0.0,0.982 xQf[k],0.25,0.045 1 + 0.822 xQr[k] + 0.135 cr[k],False,0.0,1.002 xH[k],3.0,3.493210792541504
17,2nd_approach,0.0,0.5461355,0.0,1.007 xQf[k],0.25,0.833 xQr[k] + 0.177 cr[k],False,0.0,1.006 xH[k],3.0,2.609164237976074
18,2nd_approach,0.0,0.5992178,0.0,0.982 xQf[k],0.25,0.852 xQr[k] + 0.147 cr[k],False,0.0,1.020 xH[k],3.0,3.481511354446411
19,2nd_approach,0.0,0.5716922,0.0,0.987 xQf[k],0.25,0.049 1 + 0.830 xQr[k] + 0.127 cr[k],False,0.0,1.002 xH[k],3.0,3.6762681007385254
