,reg_method,weight,loss,forget_rate,xQf,alpha,xQr,correlated_update,perseveration_bias,xH,beta,sindy_beta
0,2nd_approach,0.015264,0.6220272,0.0,0.967 xQf[k],0.25,0.044 1 + 0.793 xQr[k] + 0.037 cr[k],False,0.0,1.007 xH[k],3.0,9.955222129821777
1,2nd_approach,0.015264,0.5575163,0.0,0.992 xQf[k],0.25,0.082 1 + 0.787 xQr[k] + 0.083 cr[k],False,0.0,0.998 xH[k],3.0,5.12563419342041
2,2nd_approach,0.015264,0.5897195,0.0,0.997 xQf[k],0.25,0.108 1 + 0.837 xQr[k] + 0.054 cr[k],False,0.0,1.005 xH[k],3.0,7.187761306762695
3,2nd_approach,0.015264,0.7113794,0.0,0.916 xQf[k],0.25,0.032 1 + 0.900 xQr[k] + 0.035 cr[k],False,0.0,0.997 xH[k],3.0,7.697120666503906
4,2nd_approach,0.015264,0.5873267,0.0,0.975 xQf[k],0.25,0.818 xQr[k] + 0.063 cr[k],False,0.0,1.019 xH[k],3.0,6.7361531257629395
5,2nd_approach,0.015264,0.8525402,0.0,0.041 1 + 0.820 xQf[k],0.25,-0.040 1 + 0.837 xQr[k] + 0.065 cr[k],False,0.0,1.015 xH[k],3.0,6.181719779968262
6,2nd_approach,0.015264,0.5848751,0.0,0.965 xQf[k],0.25,0.901 xQr[k] + 0.061 cr[k],False,0.0,0.995 xH[k],3.0,7.435946464538574
7,2nd_approach,0.015264,0.5621397,0.0,0.984 xQf[k],0.25,0.041 1 + 0.846 xQr[k] + 0.114 cr[k],False,0.0,1.019 xH[k],3.0,3.5270791053771973
8,2nd_approach,0.015264,0.5590031,0.0,0.985 xQf[k],0.25,0.032 1 + 0.810 xQr[k] + 0.153 cr[k],False,0.0,1.018 xH[k],3.0,2.8209071159362793
9,2nd_approach,0.015264,0.5610591,0.0,1.004 xQf[k],0.25,0.059 1 + 0.872 xQr[k] + 0.070 cr[k],False,0.0,1.004 xH[k],3.0,5.797745227813721
10,2nd_approach,0.015264,0.5762203,0.0,0.995 xQf[k],0.25,0.030 1 + 0.865 xQr[k] + 0.082 cr[k],False,0.0,1.004 xH[k],3.0,5.15684700012207
11,2nd_approach,0.015264,0.6111982,0.0,0.964 xQf[k],0.25,0.036 1 + 0.826 xQr[k] + 0.135 cr[k],False,0.0,1.015 xH[k],3.0,3.1308066844940186
12,2nd_approach,0.015264,0.5753849,0.0,0.871 xQf[k],0.25,0.812 xQr[k] + 0.189 cr[k],False,0.0,1.010 xH[k],3.0,2.5922422409057617
13,2nd_approach,0.015264,0.575448,0.0,0.993 xQf[k],0.25,0.861 xQr[k] + 0.155 cr[k],False,0.0,1.015 xH[k],3.0,3.0519063472747803
14,2nd_approach,0.015264,0.5545697,0.0,0.982 xQf[k],0.25,0.879 xQr[k] + 0.090 cr[k],False,0.0,1.005 xH[k],3.0,5.306672096252441
15,2nd_approach,0.015264,2.1787271,0.0,0.131 1 + 0.906 xQf[k],0.25,-0.102 1 + 0.823 xQr[k] + 0.065 cr[k],False,0.0,1.004 xH[k],3.0,7.332875728607178
16,2nd_approach,0.015264,0.563823,0.0,1.007 xQf[k],0.25,0.087 1 + 0.845 xQr[k] + 0.068 cr[k],False,0.0,1.002 xH[k],3.0,5.79009485244751
17,2nd_approach,0.015264,0.5847689,0.0,0.974 xQf[k],0.25,0.850 xQr[k] + 0.100 cr[k],False,0.0,1.015 xH[k],3.0,4.5394439697265625
18,2nd_approach,0.015264,0.5668383,0.0,0.977 xQf[k],0.25,0.841 xQr[k] + 0.095 cr[k],False,0.0,1.018 xH[k],3.0,5.179393291473389
19,2nd_approach,0.015264,0.5883752,0.0,0.987 xQf[k],0.25,0.938 xQr[k] + 0.039 cr[k],False,0.0,0.997 xH[k],3.0,7.957202434539795
