,reg_method,weight,loss,forget_rate,xQf,alpha,xQr,correlated_update,perseveration_bias,xH,beta,sindy_beta
0,2nd_approach,0.0,0.5684431,0.0,0.979 xQf[k],0.25,0.033 1 + 0.800 xQr[k] + 0.164 cr[k],False,0.0,1.005 xH[k],3.0,2.824666976928711
1,2nd_approach,0.0,0.5742286,0.0,1.118 xQf[k],0.25,0.842 xQr[k] + 0.159 cr[k],False,0.0,1.005 xH[k],3.0,3.128613233566284
2,2nd_approach,0.0,0.5884465,0.0,0.544 xQf[k],0.25,0.056 1 + 0.847 xQr[k] + 0.097 cr[k],False,0.0,1.026 xH[k],3.0,4.076478004455566
3,2nd_approach,0.0,0.539112,0.0,0.962 xQf[k],0.25,0.867 xQr[k] + 0.140 cr[k],False,0.0,1.012 xH[k],3.0,2.7448248863220215
4,2nd_approach,0.0,0.9236136,0.0,0.075 1 + 0.863 xQf[k],0.25,-0.048 1 + 0.814 xQr[k] + 0.088 cr[k],False,0.0,1.002 xH[k],3.0,4.985408782958984
5,2nd_approach,1e-05,0.5766534,0.0,0.997 xQf[k],0.25,0.039 1 + 0.836 xQr[k] + 0.122 cr[k],False,0.0,1.011 xH[k],3.0,3.4196977615356445
6,2nd_approach,1e-05,0.8301216,0.0,0.796 xQf[k],0.25,0.910 xQr[k],False,0.0,0.994 xH[k],3.0,12.558361053466797
7,2nd_approach,1e-05,0.566677,0.0,0.996 xQf[k],0.25,0.062 1 + 0.796 xQr[k] + 0.101 cr[k],False,0.0,1.016 xH[k],3.0,4.696877956390381
8,2nd_approach,1e-05,0.6143966,0.0,0.034 1 + 0.975 xQf[k],0.25,0.034 1 + 0.793 xQr[k] + 0.077 cr[k],False,0.0,1.000 xH[k],3.0,5.331210613250732
9,2nd_approach,1e-05,0.568598,0.0,0.894 xQf[k],0.25,0.788 xQr[k] + 0.207 cr[k],False,0.0,0.996 xH[k],3.0,2.616057872772217
10,2nd_approach,1.3257113655901082e-05,0.5490974,0.0,1.008 xQf[k],0.25,0.835 xQr[k] + 0.165 cr[k],False,0.0,1.003 xH[k],3.0,2.7890801429748535
11,2nd_approach,1.3257113655901082e-05,0.5580141,0.0,0.973 xQf[k],0.25,0.777 xQr[k] + 0.215 cr[k],False,0.0,1.035 xH[k],3.0,2.398206949234009
12,2nd_approach,1.3257113655901082e-05,0.7417552,0.0,0.948 xQf[k],0.25,0.814 xQr[k] + 0.055 cr[k],False,0.0,1.005 xH[k],3.0,7.5716776847839355
13,2nd_approach,1.3257113655901082e-05,0.5572413,0.0,0.980 xQf[k],0.25,0.045 1 + 0.808 xQr[k] + 0.146 cr[k],False,0.0,1.012 xH[k],3.0,3.6538164615631104
14,2nd_approach,1.3257113655901082e-05,0.598523,0.0,0.971 xQf[k],0.25,0.841 xQr[k] + 0.038 cr[k],False,0.0,1.006 xH[k],3.0,9.61121940612793
15,2nd_approach,1.757510624854793e-05,0.5713955,0.0,0.977 xQf[k],0.25,0.890 xQr[k] + 0.106 cr[k],False,0.0,1.018 xH[k],3.0,3.45017671585083
16,2nd_approach,1.757510624854793e-05,0.5609965,0.0,0.944 xQf[k],0.25,0.820 xQr[k] + 0.189 cr[k],False,0.0,0.996 xH[k],3.0,2.544306993484497
17,2nd_approach,1.757510624854793e-05,0.5879241,0.0,0.037 1 + 0.863 xQf[k],0.25,0.062 1 + 0.810 xQr[k] + 0.137 cr[k],False,0.0,0.995 xH[k],3.0,4.147398471832275
18,2nd_approach,1.757510624854793e-05,0.5732061,0.0,0.032 1 + 0.877 xQf[k],0.25,0.839 xQr[k] + 0.165 cr[k],False,0.0,1.011 xH[k],3.0,2.9114789962768555
19,2nd_approach,1.757510624854793e-05,0.5883646,0.0,0.995 xQf[k],0.25,0.117 1 + 0.788 xQr[k] + 0.091 cr[k],False,0.0,1.009 xH[k],3.0,5.178737640380859
20,2nd_approach,2.3299518105153718e-05,0.5779377,0.0,0.972 xQf[k],0.25,0.052 1 + 0.815 xQr[k] + 0.130 cr[k],False,0.0,0.992 xH[k],3.0,3.42911434173584
21,2nd_approach,2.3299518105153718e-05,0.5591093,0.0,1.011 xQf[k],0.25,0.127 1 + 0.795 xQr[k] + 0.075 cr[k],False,0.0,1.005 xH[k],3.0,5.383196830749512
22,2nd_approach,2.3299518105153718e-05,0.5661096,0.0,0.998 xQf[k],0.25,0.042 1 + 0.840 xQr[k] + 0.122 cr[k],False,0.0,0.995 xH[k],3.0,3.6717710494995117
23,2nd_approach,2.3299518105153718e-05,0.5855131,0.0,0.979 xQf[k],0.25,0.060 1 + 0.775 xQr[k] + 0.065 cr[k],False,0.0,1.011 xH[k],3.0,6.757462501525879
24,2nd_approach,2.3299518105153718e-05,0.5568195,0.0,0.954 xQf[k],0.25,0.824 xQr[k] + 0.183 cr[k],False,0.0,0.998 xH[k],3.0,2.5211925506591797
25,2nd_approach,3.0888435964774785e-05,0.571445,0.0,0.939 xQf[k],0.25,0.100 1 + 0.650 xQr[k] + 0.246 cr[k],False,0.0,0.985 xH[k],3.0,3.1656575202941895
26,2nd_approach,3.0888435964774785e-05,0.5830932,0.0,0.990 xQf[k],0.25,0.813 xQr[k] + 0.193 cr[k],False,0.0,0.996 xH[k],3.0,2.448925495147705
27,2nd_approach,3.0888435964774785e-05,0.5778167,0.0,1.007 xQf[k],0.25,0.041 1 + 0.934 xQr[k] + 0.032 cr[k],False,0.0,1.008 xH[k],3.0,11.659652709960938
28,2nd_approach,3.0888435964774785e-05,0.5948175,0.0,1.007 xQf[k],0.25,0.102 1 + 0.829 xQr[k] + 0.067 cr[k],False,0.0,1.007 xH[k],3.0,6.482038497924805
29,2nd_approach,3.0888435964774785e-05,0.5409518,0.0,1.002 xQf[k],0.25,0.891 xQr[k] + 0.111 cr[k],False,0.0,1.013 xH[k],3.0,4.264182090759277
30,2nd_approach,4.094915062380427e-05,0.576655,0.0,0.991 xQf[k],0.25,0.861 xQr[k] + 0.149 cr[k],False,0.0,1.021 xH[k],3.0,3.64992618560791
31,2nd_approach,4.094915062380427e-05,0.5669223,0.0,0.973 xQf[k],0.25,0.035 1 + 0.800 xQr[k] + 0.165 cr[k],False,0.0,0.983 xH[k],3.0,3.121922492980957
