,reg_method,weight,loss,forget_rate,xQf,alpha,xQr,correlated_update
0,2nd_approach,0.0,0.5611572,0.0,0.961 xQf[k],0.25,0.966 xQr[k],False
1,2nd_approach,1e-05,0.5824175,0.0,0.974 xQf[k],0.25,0.778 xQr[k] + 0.112 cr[k],False
2,2nd_approach,1.3257113655901082e-05,0.5600787,0.0,1.011 xQf[k],0.25,0.081 1 + 0.752 xQr[k] + 0.168 cr[k],False
3,2nd_approach,1.757510624854793e-05,0.5576866,0.0,0.993 xQf[k],0.25,299.643 1 + 0.738 xQr[k] + -299.372 cr[k] + -299.611 c(1-r)[k],False
4,2nd_approach,2.3299518105153718e-05,0.5528286,0.0,0.038 1 + 0.906 xQf[k],0.25,-1358.610 1 + 0.763 xQr[k] + 1358.842 cr[k] + 1358.675 c(1-r)[k],False
5,2nd_approach,3.0888435964774785e-05,0.5703083,0.0,1.007 xQf[k],0.25,-336.410 1 + 0.780 xQr[k] + 336.641 cr[k] + 336.400 c(1-r)[k],False
6,2nd_approach,4.094915062380427e-05,0.548492,0.0,0.954 xQf[k],0.25,0.862 xQr[k] + 0.051 cr[k],False
7,2nd_approach,5.4286754393238594e-05,0.569927,0.0,0.980 xQf[k],0.25,156.662 1 + 0.853 xQr[k] + -156.521 cr[k] + -156.613 c(1-r)[k],False
8,2nd_approach,7.196856730011514e-05,0.5639004,0.0,0.911 xQf[k],0.25,0.875 xQr[k] + 0.043 cr[k],False
9,2nd_approach,9.540954763499944e-05,0.5705423,0.0,1.001 xQf[k],0.25,-411.461 1 + 0.775 xQr[k] + 411.585 cr[k] + 411.448 c(1-r)[k],False
10,2nd_approach,0.00012648552168552957,0.5476421,0.0,0.992 xQf[k],0.25,310.021 1 + 0.744 xQr[k] + -309.759 cr[k] + -310.019 c(1-r)[k],False
11,2nd_approach,0.00016768329368110083,0.5786575,0.0,0.995 xQf[k],0.25,631.903 1 + 0.760 xQr[k] + -631.647 cr[k] + -631.919 c(1-r)[k],False
12,2nd_approach,0.00022229964825261955,0.547708,0.0,1.007 xQf[k],0.25,-28.225 1 + 0.748 xQr[k] + 28.489 cr[k] + 28.219 c(1-r)[k],False
13,2nd_approach,0.00029470517025518097,0.5943282,0.0,0.883 xQf[k],0.25,1550.021 1 + 0.798 xQr[k] + -1549.926 cr[k] + -1550.025 c(1-r)[k],False
14,2nd_approach,0.0003906939937054617,0.560605,0.0,0.905 xQf[k],0.25,159.774 1 + 0.740 xQr[k] + -159.516 cr[k] + -159.761 c(1-r)[k],False
15,2nd_approach,0.0005179474679231213,0.5742757,0.0,0.951 xQf[k],0.25,475.974 1 + 0.754 xQr[k] + -475.730 cr[k] + -475.973 c(1-r)[k],False
16,2nd_approach,0.0006866488450042998,0.5722604,0.0,0.947 xQf[k],0.25,224.777 1 + 0.731 xQr[k] + -224.513 cr[k] + -224.738 c(1-r)[k],False
17,2nd_approach,0.0009102981779915217,0.5581533,0.0,0.969 xQf[k],0.25,149.442 1 + 0.737 xQr[k] + -149.179 cr[k] + -149.460 c(1-r)[k],False
18,2nd_approach,0.0012067926406393288,0.574746,0.0,0.989 xQf[k],0.25,516.234 1 + 0.739 xQr[k] + -515.963 cr[k] + -516.235 c(1-r)[k],False
19,2nd_approach,0.0015998587196060573,0.5437346,0.0,0.924 xQf[k],0.25,-94.818 1 + 0.781 xQr[k] + 95.028 cr[k] + 94.795 c(1-r)[k],False
20,2nd_approach,0.0021209508879201904,0.5661728,0.0,0.827 xQf[k],0.25,41.140 1 + 0.756 xQr[k] + -40.889 cr[k] + -41.148 c(1-r)[k],False
21,2nd_approach,0.002811768697974231,0.5925988,0.0,0.994 xQf[k],0.25,285.022 1 + 0.751 xQr[k] + -284.768 cr[k] + -285.001 c(1-r)[k],False
22,2nd_approach,0.003727593720314938,0.5711817,0.0,0.968 xQf[k],0.25,378.459 1 + 0.773 xQr[k] + -378.230 cr[k] + -378.409 c(1-r)[k],False
23,2nd_approach,0.004941713361323833,0.5608252,0.0,0.978 xQf[k],0.25,-325.725 1 + 0.759 xQr[k] + 325.976 cr[k] + 325.728 c(1-r)[k],False
